Region,Division_IPC,Fecha,Valor_IPC
Nacional,Comunicación,2018-01-01,32.6
Nacional,Recreación y cultura,2018-01-01,23.1
Nacional,Educación,2018-01-01,31.3
Nacional,Restaurantes y hoteles,2018-01-01,21.9
Nacional,Bienes y servicios varios,2018-01-01,20.4
GBA,Nivel general,2018-01-01,25.4
GBA,Alimentos y bebidas no alcohólicas,2018-01-01,23.1
GBA,Bebidas alcohólicas y tabaco,2018-01-01,26.1
GBA,Prendas de vestir y calzado,2018-01-01,16.1
GBA,"Vivienda, agua, electricidad, gas y otros combustibles",2018-01-01,52.3
GBA,Equipamiento y mantenimiento del hogar,2018-01-01,18.0
GBA,Salud,2018-01-01,27.8
GBA,Transporte,2018-01-01,17.9
GBA,Comunicación,2018-01-01,31.6
GBA,Recreación y cultura,2018-01-01,22.2
GBA,Educación,2018-01-01,29.3
GBA,Restaurantes y hoteles,2018-01-01,22.6
GBA,Bienes y servicios varios,2018-01-01,21.0
Pampeana,Nivel general,2018-01-01,25.1
Pampeana,Alimentos y bebidas no alcohólicas,2018-01-01,19.8
Pampeana,Bebidas alcohólicas y tabaco,2018-01-01,25.2
Pampeana,Prendas de vestir y calzado,2018-01-01,19.7
Pampeana,"Vivienda, agua, electricidad, gas y otros combustibles",2018-01-01,56.6
Pampeana,Equipamiento y mantenimiento del hogar,2018-01-01,18.1
Pampeana,Salud,2018-01-01,27.2
Pampeana,Transporte,2018-01-01,22.1
Pampeana,Comunicación,2018-01-01,35.2
Pampeana,Recreación y cultura,2018-01-01,23.2
Pampeana,Educación,2018-01-01,33.0
Pampeana,Restaurantes y hoteles,2018-01-01,22.3
Pampeana,Bienes y servicios varios,2018-01-01,20.5
Noroeste,Nivel general,2018-01-01,24.7
Noroeste,Alimentos y bebidas no alcohólicas,2018-01-01,21.2
Noroeste,Bebidas alcohólicas y tabaco,2018-01-01,22.7
Noroeste,Prendas de vestir y calzado,2018-01-01,16.9
Noroeste,"Vivienda, agua, electricidad, gas y otros combustibles",2018-01-01,68.3
Noroeste,Equipamiento y mantenimiento del hogar,2018-01-01,17.7
Noroeste,Salud,2018-01-01,24.2
Noroeste,Transporte,2018-01-01,21.9
Noroeste,Comunicación,2018-01-01,33.7
Noroeste,Recreación y cultura,2018-01-01,24.2
Noroeste,Educación,2018-01-01,39.8
Noroeste,Restaurantes y hoteles,2018-01-01,19.3
Noroeste,Bienes y servicios varios,2018-01-01,17.1
Noreste,Nivel general,2018-01-01,22.7
Noreste,Alimentos y bebidas no alcohólicas,2018-01-01,20.2
Noreste,Bebidas alcohólicas y tabaco,2018-01-01,27.7
Noreste,Prendas de vestir y calzado,2018-01-01,13.7
Noreste,"Vivienda, agua, electricidad, gas y otros combustibles",2018-01-01,48.8
Noreste,Equipamiento y mantenimiento del hogar,2018-01-01,14.1
Noreste,Salud,2018-01-01,24.8
Noreste,Transporte,2018-01-01,25.4
Noreste,Comunicación,2018-01-01,30.8
Noreste,Recreación y cultura,2018-01-01,21.7
Noreste,Educación,2018-01-01,33.0
Noreste,Restaurantes y hoteles,2018-01-01,16.2
Noreste,Bienes y servicios varios,2018-01-01,20.5
Cuyo,Nivel general,2018-01-01,25.3
Cuyo,Alimentos y bebidas no alcohólicas,2018-01-01,20.4
Cuyo,Bebidas alcohólicas y tabaco,2018-01-01,23.8
Cuyo,Prendas de vestir y calzado,2018-01-01,11.5
Cuyo,"Vivienda, agua, electricidad, gas y otros combustibles",2018-01-01,63.2
Cuyo,Equipamiento y mantenimiento del hogar,2018-01-01,15.7
Cuyo,Salud,2018-01-01,28.2
Cuyo,Transporte,2018-01-01,26.8
Cuyo,Comunicación,2018-01-01,29.0
Cuyo,Recreación y cultura,2018-01-01,24.6
Cuyo,Educación,2018-01-01,34.8
