Region,Division_IPC,Fecha,Valor_IPC
Nacional,Comunicación,2017-01-01,103.0516
Nacional,Recreación y cultura,2017-01-01,103.1906
Nacional,Educación,2017-01-01,100.7952
Nacional,Restaurantes y hoteles,2017-01-01,103.1002
Nacional,Bienes y servicios varios,2017-01-01,101.9345
GBA,Nivel general,2017-01-01,101.313
GBA,Alimentos y bebidas no alcohólicas,2017-01-01,101.3069
GBA,Bebidas alcohólicas y tabaco,2017-01-01,100.5008
GBA,Prendas de vestir y calzado,2017-01-01,97.8719
GBA,"Vivienda, agua, electricidad, gas y otros combustibles",2017-01-01,99.9812
GBA,Equipamiento y mantenimiento del hogar,2017-01-01,100.8651
GBA,Salud,2017-01-01,101.3559
GBA,Transporte,2017-01-01,101.7583
GBA,Comunicación,2017-01-01,103.8174
GBA,Recreación y cultura,2017-01-01,103.243
GBA,Educación,2017-01-01,100.4869
GBA,Restaurantes y hoteles,2017-01-01,103.2868
GBA,Bienes y servicios varios,2017-01-01,102.117
Pampeana,Nivel general,2017-01-01,101.7874
Pampeana,Alimentos y bebidas no alcohólicas,2017-01-01,101.3185
Pampeana,Bebidas alcohólicas y tabaco,2017-01-01,101.3123
Pampeana,Prendas de vestir y calzado,2017-01-01,99.6481
Pampeana,"Vivienda, agua, electricidad, gas y otros combustibles",2017-01-01,102.225
Pampeana,Equipamiento y mantenimiento del hogar,2017-01-01,100.8374
Pampeana,Salud,2017-01-01,103.1538
Pampeana,Transporte,2017-01-01,102.4339
Pampeana,Comunicación,2017-01-01,102.0782
Pampeana,Recreación y cultura,2017-01-01,103.5814
Pampeana,Educación,2017-01-01,100.3682
Pampeana,Restaurantes y hoteles,2017-01-01,103.1259
Pampeana,Bienes y servicios varios,2017-01-01,101.5745
Noroeste,Nivel general,2017-01-01,101.6014
Noroeste,Alimentos y bebidas no alcohólicas,2017-01-01,101.0322
Noroeste,Bebidas alcohólicas y tabaco,2017-01-01,101.3444
Noroeste,Prendas de vestir y calzado,2017-01-01,100.483
Noroeste,"Vivienda, agua, electricidad, gas y otros combustibles",2017-01-01,101.5904
Noroeste,Equipamiento y mantenimiento del hogar,2017-01-01,100.4121
Noroeste,Salud,2017-01-01,102.7132
Noroeste,Transporte,2017-01-01,102.928
Noroeste,Comunicación,2017-01-01,104.1098
Noroeste,Recreación y cultura,2017-01-01,103.4112
Noroeste,Educación,2017-01-01,100.5123
Noroeste,Restaurantes y hoteles,2017-01-01,102.48
Noroeste,Bienes y servicios varios,2017-01-01,102.0385
Noreste,Nivel general,2017-01-01,101.6727
Noreste,Alimentos y bebidas no alcohólicas,2017-01-01,101.7326
Noreste,Bebidas alcohólicas y tabaco,2017-01-01,100.7754
Noreste,Prendas de vestir y calzado,2017-01-01,100.2847
Noreste,"Vivienda, agua, electricidad, gas y otros combustibles",2017-01-01,101.394
Noreste,Equipamiento y mantenimiento del hogar,2017-01-01,101.4132
Noreste,Salud,2017-01-01,102.5966
Noreste,Transporte,2017-01-01,100.3463
Noreste,Comunicación,2017-01-01,102.7252
Noreste,Recreación y cultura,2017-01-01,103.633
Noreste,Educación,2017-01-01,101.6601
Noreste,Restaurantes y hoteles,2017-01-01,104.2939
Noreste,Bienes y servicios varios,2017-01-01,102.0562
Cuyo,Nivel general,2017-01-01,101.7074
Cuyo,Alimentos y bebidas no alcohólicas,2017-01-01,101.4532
Cuyo,Bebidas alcohólicas y tabaco,2017-01-01,101.3446
Cuyo,Prendas de vestir y calzado,2017-01-01,99.8901
Cuyo,"Vivienda, agua, electricidad, gas y otros combustibles",2017-01-01,102.9333
Cuyo,Equipamiento y mantenimiento del hogar,2017-01-01,101.2098
Cuyo,Salud,2017-01-01,103.1395
